Year,Typhoon Number,Typhoon Name,Cyclogenesis Start,Cyclogenesis End,Typhoon Start,Typhoon End,Cyclolysis Start,Cyclolysis End
1957,195712,DELLA,1957-09-09 12:00:00,1957-09-09 18:00:00,1957-09-10 00:00:00,1957-09-17 00:00:00,,
1957,195713,ELAINE,1957-09-14 18:00:00,1957-09-15 06:00:00,1957-09-15 12:00:00,1957-09-19 06:00:00,1957-09-19 12:00:00,1957-09-21 06:00:00
1957,195714,FAYE,1957-09-17 18:00:00,1957-09-18 00:00:00,1957-09-18 06:00:00,1957-09-27 18:00:00,1957-09-28 00:00:00,1957-10-01 00:00:00
1957,195715,GLORIA,1957-09-17 18:00:00,1957-09-19 12:00:00,1957-09-19 18:00:00,1957-09-24 00:00:00,1957-09-24 06:00:00,1957-09-24 18:00:00
1957,195716,HESTER,1957-10-03 18:00:00,1957-10-04 12:00:00,1957-10-04 18:00:00,1957-10-10 18:00:00,1957-10-11 00:00:00,1957-10-13 00:00:00
1957,195717,IRMA,1957-10-09 00:00:00,1957-10-09 00:00:00,1957-10-09 06:00:00,1957-10-12 18:00:00,1957-10-13 00:00:00,1957-10-13 00:00:00
1957,195718,NO-NAME,1957-10-11 12:00:00,1957-10-12 06:00:00,1957-10-12 12:00:00,1957-10-15 12:00:00,1957-10-15 18:00:00,1957-10-15 18:00:00
1957,195719,JUDY,1957-10-19 18:00:00,1957-10-21 06:00:00,1957-10-21 12:00:00,1957-10-27 00:00:00,1957-10-27 06:00:00,1957-10-29 18:00:00
1957,195720,KIT,1957-11-04 18:00:00,1957-11-08 00:00:00,1957-11-08 06:00:00,1957-11-16 06:00:00,1957-11-16 12:00:00,1957-11-18 00:00:00
1957,195721,LOLA,1957-11-08 18:00:00,1957-11-12 00:00:00,1957-11-12 06:00:00,1957-11-20 18:00:00,1957-11-21 00:00:00,1957-11-22 00:00:00
1957,195722,MAMIE,1957-11-17 18:00:00,1957-11-17 18:00:00,1957-11-18 00:00:00,1957-11-24 00:00:00,1957-11-24 06:00:00,1957-11-25 06:00:00
1958,195801,OPHELIA,1958-01-06 18:00:00,1958-01-07 12:00:00,1958-01-07 18:00:00,1958-01-17 12:00:00,,
1958,195802,NO-NAME,1958-04-29 00:00:00,1958-04-29 06:00:00,1958-04-29 12:00:00,1958-04-30 00:00:00,1958-04-30 06:00:00,1958-04-30 06:00:00
1958,195803,PHYLLIS,1958-05-25 00:00:00,1958-05-25 06:00:00,1958-05-25 12:00:00,1958-06-02 18:00:00,1958-06-03 00:00:00,1958-06-06 12:00:00
1958,195804,NO-NAME,1958-05-26 18:00:00,1958-06-03 06:00:00,1958-06-03 12:00:00,1958-06-05 06:00:00,1958-06-05 12:00:00,1958-06-06 06:00:00
1958,195805,RITA,1958-06-07 00:00:00,1958-06-08 12:00:00,1958-06-08 18:00:00,1958-06-13 06:00:00,1958-06-13 12:00:00,1958-06-13 18:00:00
1958,195806,NO-NAME,1958-06-08 00:00:00,1958-06-11 06:00:00,1958-06-11 12:00:00,1958-06-12 06:00:00,1958-06-12 12:00:00,1958-06-13 00:00:00
1958,195807,SUSAN,1958-06-13 00:00:00,1958-06-14 00:00:00,1958-06-14 06:00:00,1958-06-18 00:00:00,1958-06-18 06:00:00,1958-06-18 18:00:00
1958,195808,TESS,1958-07-01 06:00:00,1958-07-02 00:00:00,1958-07-02 06:00:00,1958-07-05 06:00:00,1958-07-05 12:00:00,1958-07-05 18:00:00
1958,195809,VIOLA,1958-07-08 00:00:00,1958-07-08 06:00:00,1958-07-08 12:00:00,1958-07-14 06:00:00,1958-07-14 12:00:00,1958-07-17 06:00:00
1958,195810,WINNIE,1958-07-11 00:00:00,1958-07-12 00:00:00,1958-07-12 06:00:00,1958-07-17 12:00:00,1958-07-17 18:00:00,1958-07-18 00:00:00
1958,195811,ALICE,1958-07-13 06:00:00,1958-07-14 06:00:00,1958-07-14 12:00:00,1958-07-24 18:00:00,1958-07-25 00:00:00,1958-07-28 06:00:00
1958,195812,BETTY,1958-07-14 00:00:00,1958-07-15 00:00:00,1958-07-15 06:00:00,1958-07-16 00:00:00,,
1958,195813,DORIS,1958-07-22 00:00:00,1958-07-22 06:00:00,1958-07-22 12:00:00,1958-07-30 00:00:00,1958-07-30 06:00:00,1958-07-30 12:00:00
1958,195814,NO-NAME,1958-07-19 06:00:00,1958-07-22 18:00:00,1958-07-23 00:00:00,1958-07-24 06:00:00,1958-07-24 12:00:00,1958-07-25 00:00:00
1958,195815,ELSIE,1958-08-04 12:00:00,1958-08-05 00:00:00,1958-08-05 06:00:00,1958-08-09 18:00:00,1958-08-10 00:00:00,1958-08-10 00:00:00
1958,195816,NO-NAME,1958-08-05 00:00:00,1958-08-08 12:00:00,1958-08-08 18:00:00,1958-08-09 06:00:00,1958-08-09 12:00:00,1958-08-11 00:00:00
1958,195817,FLOSSIE,1958-08-19 12:00:00,1958-08-21 00:00:00,1958-08-21 06:00:00,1958-08-26 00:00:00,1958-08-26 06:00:00,1958-08-27 18:00:00
1958,195818,NO-NAME,1958-08-25 06:00:00,1958-08-28 06:00:00,1958-08-28 12:00:00,1958-08-30 12:00:00,1958-08-30 18:00:00,1958-08-31 00:00:00
1958,195819,GRACE,1958-08-27 18:00:00,1958-08-29 00:00:00,1958-08-29 06:00:00,1958-09-05 18:00:00,1958-09-06 00:00:00,1958-09-09 12:00:00
1958,195820,NO-NAME,1958-09-02 12:00:00,1958-09-09 00:00:00,1958-09-09 06:00:00,1958-09-13 00:00:00,1958-09-13 06:00:00,1958-09-13 12:00:00
1958,195821,HELEN,1958-09-08 00:00:00,1958-09-09 00:00:00,1958-09-09 06:00:00,1958-09-19 00:00:00,1958-09-19 06:00:00,1958-09-22 06:00:00
1958,195822,IDA,1958-09-20 06:00:00,1958-09-20 18:00:00,1958-09-21 00:00:00,1958-09-27 00:00:00,1958-09-27 06:00:00,1958-09-28 18:00:00
1958,195823,JUNE,1958-09-20 00:00:00,1958-09-20 18:00:00,1958-09-21 00:00:00,1958-09-22 00:00:00,1958-09-22 06:00:00,1958-09-23 00:00:00
